docid	lc_words	tags	coarse_tags	pattern	numwords	numchars	count
bill0	leave	NN	Noun	NP	1	5	150
bill0	leave	VB	Verb	VG	1	5	50
bill0	leave	VBP	Verb	VG	1	5	7
bill0	employee	NN	Noun	NP	1	8	192
bill0	employee	NNP	Noun	NP	1	8	5
bill0	section	NN	Noun	NP	1	7	99
bill0	be	VB	Verb	VG	1	2	92
bill0	b	NN	Noun	NP	1	1	91
bill0	is	VBZ	Verb	VG	1	2	74
bill0	employer	NN	Noun	NP	1	8	71
bill0	a	NN	Noun	NP	1	1	59
bill0	health	NN	Noun	NP	1	6	51
bill0	health	NNP	Noun	NP	1	6	6
bill0	c	NN	Noun	NP	1	1	55
bill0	act	NN	Noun	NP	1	3	30
bill0	act	NNP	Noun	NP	1	3	23
bill0	act	VBP	Verb	VG	1	3	1
bill0	subsection	NN	Noun	NP	1	10	53
bill0	title	NN	Noun	NP	1	5	50
bill0	title	VB	Verb	VG	1	5	2
bill0	title	NNP	Noun	NP	1	5	1
bill0	agency	NN	Noun	NP	1	6	50
bill0	care	NN	Noun	NP	1	4	38
bill0	care	VB	Verb	VG	1	4	10
bill0	shall be	MD VB	VerbMod Verb	VG	2	8	47
bill0	employment	NN	Noun	NP	1	10	35
bill0	employment	NNP	Noun	NP	1	10	10
bill0	employees	NNS	Noun	NP	1	9	40
bill0	employees	NNP	Noun	NP	1	9	3
bill0	term	NN	Noun	NP	1	4	40
bill0	term	NNP	Noun	NP	1	4	1
bill0	d	NN	Noun	NP	1	1	37
bill0	subparagraph	NN	Noun	NP	1	12	37
bill0	commission	NNP	Noun	NP	1	10	32
bill0	commission	NN	Noun	NP	1	10	1
bill0	provided	VBN	Verb	VG	1	8	33
bill0	secretary	NNP	Noun	NP	1	9	33
bill0	date	NN	Noun	NP	1	4	32
bill0	eligible employee	JJ NN	Adj Noun	NP	2	17	32
bill0	paragraph	NN	Noun	NP	1	9	31
bill0	certification	NN	Noun	NP	1	13	30
bill0	1	CD	Noun	NP	1	1	29
bill0	benefits	NNS	Noun	NP	1	8	26
bill0	benefits	NNPS	Noun	NP	1	8	2
bill0	condition	NN	Noun	NP	1	9	28
bill0	daughter	NN	Noun	NP	1	8	28
