docid	lc_words	tags	coarse_tags	pattern	numwords	numchars	count
bill1	registration	NN	Noun	NP	1	12	88
bill1	registration	NNP	Noun	NP	1	12	8
bill1	state	NN	Noun	NP	1	5	75
bill1	state	NNP	Noun	NP	1	5	14
bill1	state	VB	Verb	VG	1	5	1
bill1	voter	NN	Noun	NP	1	5	71
bill1	voter	NNP	Noun	NP	1	5	10
bill1	voter registration	NN NN	Noun Noun	NP	2	18	64
bill1	voter registration	NNP NNP	Noun Noun	NP	2	18	8
bill1	voter registration	NNP NN	Noun Noun	NP	2	18	1
bill1	election	NN	Noun	NP	1	8	54
bill1	election	NNP	Noun	NP	1	8	4
bill1	is	VBZ	Verb	VG	1	2	58
bill1	vote	VB	Verb	VG	1	4	44
bill1	vote	NN	Noun	NP	1	4	2
bill1	vote	NNP	Noun	NP	1	4	1
bill1	b	NN	Noun	NP	1	1	44
bill1	federal	NNP	Noun	NP	1	7	44
bill1	application	NN	Noun	NP	1	11	41
bill1	application	NNP	Noun	NP	1	11	1
bill1	be	VB	Verb	VG	1	2	41
bill1	applicant	NN	Noun	NP	1	9	39
bill1	registrant	NN	Noun	NP	1	10	37
bill1	office	NN	Noun	NP	1	6	34
bill1	office	NNP	Noun	NP	1	6	2
bill1	address	NN	Noun	NP	1	7	32
bill1	address	NNP	Noun	NP	1	7	2
bill1	a	NN	Noun	NP	1	1	33
bill1	act	NN	Noun	NP	1	3	22
bill1	act	NNP	Noun	NP	1	3	9
bill1	register	VB	Verb	VG	1	8	28
bill1	register	NNP	Noun	NP	1	8	1
bill1	register	VBP	Verb	VG	1	8	1
bill1	official	NN	Noun	NP	1	8	28
bill1	section	NN	Noun	NP	1	7	28
bill1	form	NN	Noun	NP	1	4	27
bill1	states	NNPS	Noun	NP	1	6	19
bill1	states	NNP	Noun	NP	1	6	6
bill1	states	NNS	Noun	NP	1	6	2
bill1	date	NN	Noun	NP	1	4	26
bill1	federal office	NNP NN	Noun Noun	NP	2	14	25
bill1	federal office	NNP NNP	Noun Noun	NP	2	14	1
bill1	paragraph	NN	Noun	NP	1	9	24
bill1	law	NN	Noun	NP	1	3	22
bill1	election official	NN NN	Noun Noun	NP	2	17	21
bill1	notice	NN	Noun	NP	1	6	21
bill1	person	NN	Noun	NP	1	6	21
bill1	has	VBZ	Verb	VG	1	3	20
bill1	information	NN	Noun	NP	1	11	20
bill1	voters	NNS	Noun	NP	1	6	20
bill1	voting	NN	Noun	NP	1	6	10
