docid	lc_words	tags	coarse_tags	pattern	numwords	numchars	count
bill6	be	VB	Verb	VG	1	2	109
bill6	section	NN	Noun	NP	1	7	109
bill6	secretary	NNP	Noun	NP	1	9	86
bill6	secretary	NN	Noun	NP	1	9	2
bill6	title	NN	Noun	NP	1	5	72
bill6	housing	NN	Noun	NP	1	7	53
bill6	housing	NNP	Noun	NP	1	7	17
bill6	act	NNP	Noun	NP	1	3	49
bill6	act	NN	Noun	NP	1	3	15
bill6	state	NN	Noun	NP	1	5	51
bill6	state	NNP	Noun	NP	1	5	6
bill6	b	NN	Noun	NP	1	1	52
bill6	amounts	NNS	Noun	NP	1	7	49
bill6	amounts	VBZ	Verb	VG	1	7	1
bill6	assistance	NN	Noun	NP	1	10	45
bill6	assistance	NNP	Noun	NP	1	10	4
bill6	is	VBZ	Verb	VG	1	2	48
bill6	shall be	MD VB	VerbMod Verb	VG	2	8	47
bill6	areas	NNS	Noun	NP	1	5	43
bill6	states	NNPS	Noun	NP	1	6	35
bill6	states	NNP	Noun	NP	1	6	6
bill6	states	NNS	Noun	NP	1	6	1
bill6	government	NN	Noun	NP	1	10	38
bill6	government	NNP	Noun	NP	1	10	3
bill6	local government	JJ NN	Adj Noun	NP	2	16	36
bill6	amount	NN	Noun	NP	1	6	35
bill6	general local government	JJ JJ NN	Adj Adj Noun	NP	3	24	35
bill6	paragraph	NN	Noun	NP	1	9	34
bill6	city	NN	Noun	NP	1	4	32
bill6	extent	NN	Noun	NP	1	6	32
bill6	activities	NNS	Noun	NP	1	10	30
bill6	activities	NNPS	Noun	NP	1	10	1
bill6	funds	NNS	Noun	NP	1	5	31
bill6	106	CD	Noun	NP	1	3	30
bill6	county	NN	Noun	NP	1	6	28
bill6	development	NN	Noun	NP	1	11	15
bill6	development	NNP	Noun	NP	1	11	13
bill6	section 106	NN CD	Noun Noun	NP	2	11	28
bill6	a	NN	Noun	NP	1	1	27
bill6	united	NNP	Noun	NP	1	6	27
bill6	united states	NNP NNPS	Noun Noun	NP	2	13	21
bill6	united states	NNP NNP	Noun Noun	NP	2	13	6
bill6	community	NN	Noun	NP	1	9	16
