lc_words	count
registration	88
registration	8
state	75
state	14
state	1
voter	71
voter	10
voter registration	64
voter registration	8
voter registration	1
election	54
election	4
is	58
vote	44
vote	2
vote	1
b	44
federal	44
application	41
application	1
be	41
applicant	39
registrant	37
office	34
office	2
address	32
address	2
a	33
act	22
act	9
register	28
register	1
register	1
official	28
section	28
form	27
states	19
states	6
states	2
date	26
federal office	25
federal office	1
paragraph	24
law	22
election official	21
notice	21
person	21
has	20
information	20
voters	20
voting	10
voting	8
voting	2
elections	19
provided	19
registration application	19
united	19
united states	13
united states	6
c	18
described	18
change	14
change	2
change	1
elections for federal	17
elections for federal office	16
elections for federal office	1
mail	16
mail	1
days	16
place	15
place	1
purposes	16
shall be	16
state election	15
state election	1
1	15
state election official	15
voter registration application	15
2	14
motor	13
motor	1
motor vehicle	13
motor vehicle	1
vehicle	13
vehicle	1
agency	13
d	13
jurisdiction	13
offices	13
polling	13
polling place	13
state law	9
state law	4
statement	13
subsection	13
change of address	11
change of address	1
effect	12
including	12
license	6
license	5
license	1
residence	12
5	11
appropriate state	11
are	11
provide	6
provide	5
registrar	11
title	10
title	1
used	11
assistance	10
drivers	9
drivers	1
drivers license	6
drivers license	3
drivers license	1
eligible voters	10
paragraph -lrb- 1 -rrb-	10
records	10
registrars	10
registration agency	10
right	8
right	2
state motor	10
state motor vehicle	10
voter registration agency	10
appropriate state election	9
appropriate state election official	9
chief	9
designated	9
election for federal	9
include	9
motor vehicle drivers	8
motor vehicle drivers	1
motor vehicle drivers license	5
motor vehicle drivers license	3
motor vehicle drivers license	1
registered	9
registrars jurisdiction	9
requirement	9
respect	9
vehicle drivers	8
vehicle drivers	1
vehicle drivers license	5
vehicle drivers license	3
vehicle drivers license	1
6	8
action	6
action	2
area	8
described in paragraph	8
election for federal office	8
forms	8
government	6
government	2
list	8
mail voter	7
mail voter	1
mail voter registration	7
mail voter registration	1
paragraph -lrb- 2 -rrb-	8
period	8
permitted	8
persons	8
procedures	7
procedures	1
accordance	7
agencies	7
application form	7
attorney	5
attorney	2
correct	7
name	7
purpose	7
registrants	7
registration form	6
registration form	1
service	4
service	3
shall include	7
subparagraph	7
subsection -lrb- a -rrb-	7
u.s.c.	5
u.s.c.	2
voter registration form	6
voter registration form	1
will be	7
30	6
3626	6
accepted	6
affirmation	6
be permitted	6
be used	6
case	6
chief state	5
chief state	1
chief state election	5
chief state election	1
chief state election official	5
chief state election official	1
code	6
conviction	6
court	5
court	1
does	6
eligibility	6
general	6
list of eligible voters	6
lists	6
llmdash	6
made	5
made	1
make	4
make	2
provided by state	6
provided by state law	6
registrant has	6
registration application form	6
registration purposes	6
required	6
rights	3
rights	3
sec	6
services	6
state motor vehicle drivers	6
state motor vehicle drivers license	3
state motor vehicle drivers license	3
states code	6
term	6
united states code	6
violation	6
voter registration purposes	6
voters in elections	6
voters in elections for federal	6
voters in elections for federal office	6
was	6
1993	5
30 days	5
42	5
42 u.s.c.	5
7	5
8	5
9	5
addition	5
affirmation by the registrant	5
applicant is	5
attestation	5
changed	4
changed	1
congress	5
day	5
days after the date	5
district	4
district	1
failure	5
federal election	4
federal election	1
following	4
following	1
has moved	5
have	4
have	1
is registered	5
mail voter registration application	5
maintained	3
maintained	2
